a,save,0.000776096235933,-7.16123403009
build,scripts,0.0175438596491,-4.04305126783
jack,w,1.0,0.0
about,so,0.00480769230769,-5.3375380797
other,then,0.00490196078431,-5.31811999384
grandparents,came,0.333333333333,-1.09861228867
their,emotional,0.00383141762452,-5.56452040732
of,gothenburg,0.000680272108844,-7.29301767977
negotiations,regardless,0.5,-0.69314718056
rapidly,exploring,0.333333333333,-1.09861228867
it,looks,0.00340136054422,-5.68357976734
and,graphics,0.000388802488336,-7.85243908536
up-front,cost,1.0,0.0
have,made,0.0128676470588,-4.3530390978
new,to,0.0268817204301,-3.61630876128
want,you,0.00980392156863,-4.62497281328
continuous,innovation,0.2,-1.60943791243
of,studying,0.000340136054422,-7.98616486033
routine,tasks,0.222222222222,-1.50407739678
one,desires,0.00346020761246,-5.66642668811
um,and,0.666666666667,-0.405465108108
be,fit,0.00138504155125,-6.58202513889
lot,this,0.0138888888889,-4.27666611902
accept,unusual,0.0909090909091,-2.3978952728
instability,which,1.0,0.0
models,as,0.03125,-3.4657359028
processes,would,0.0212765957447,-3.85014760171
to,satisfy,0.00032310177706,-8.03754318512
systems,conference,0.015625,-4.15888308336
move,certain,0.030303030303,-3.49650756147
success,really,0.0555555555556,-2.8903717579
to,living,0.00032310177706,-8.03754318512
to,bolt,0.00032310177706,-8.03754318512
tools,including,0.00709219858156,-4.94875989038
intent,of,0.571428571429,-0.559615787935
schedule,he,0.0714285714286,-2.63905732962
and,placement,0.000388802488336,-7.85243908536
development,projects,0.0292682926829,-3.53125050991
tumbling,thing,0.5,-0.69314718056
method,has,0.03125,-3.4657359028
integrating,frequently,0.333333333333,-1.09861228867
just,reaching,0.00645161290323,-5.04342511692
code,up,0.00651465798046,-5.03370056703
milestones,and,0.333333333333,-1.09861228867
put,her,0.03125,-3.4657359028
spend,some,0.111111111111,-2.19722457734
more,nuanced,0.00660066006601,-5.02058562495
xml,format,0.0769230769231,-2.56494935746
how-to,documents,1.0,0.0
now,that,0.0537634408602,-2.92316158072
rocket,science–especially,1.0,0.0
typical,it,0.0666666666667,-2.7080502011
system,itself,0.0119760479042,-4.42484663186
tooling,would,0.125,-2.07944154168
hear,second,0.111111111111,-2.19722457734
group,behaviors,0.0243902439024,-3.7135720667
a,glimpse,0.000776096235933,-7.16123403009
mean,designing,0.0714285714286,-2.63905732962
realized,that,0.0909090909091,-2.3978952728
specialty,in,0.025974025974,-3.65065824129
industries,plus,0.1,-2.30258509299
the,scientists,0.000992720052945,-6.91506185416
their,experimental,0.00383141762452,-5.56452040732
likely,several,0.0333333333333,-3.40119738166
issued,later,0.5,-0.69314718056
need,it,0.0144927536232,-4.2341065046
contexts,where,1.0,0.0
islands,—,0.142857142857,-1.94591014906
kindness,and,0.5,-0.69314718056
etiquette,although,0.5,-0.69314718056
bundesliga,scoccer,1.0,0.0
are,ultra-portable,0.00117785630153,-6.74405918631
correct,structure,0.0555555555556,-2.8903717579
much,space,0.00892857142857,-4.7184988713
was,nt,0.0187265917603,-3.97781074597
hanks,reinvents,0.333333333333,-1.09861228867
the,knowledge,0.00132362673726,-6.62737978171
project,manager,0.0193236714976,-3.94642443215
core,of,0.0833333333333,-2.48490664979
already,in,0.0769230769231,-2.56494935746
make,maintenance,0.00606060606061,-5.1059454739
position,of,0.0357142857143,-3.33220451018
science,worked,0.025641025641,-3.66356164613
patent,owner,0.0434782608696,-3.13549421593
developers,including,0.00806451612903,-4.82028156561
regular,intervals,0.0909090909091,-2.3978952728
effort,required,0.142857142857,-1.94591014906
players,and,0.0625,-2.77258872224
development,tools,0.00487804878049,-5.32300997914
likelihood,she,0.111111111111,-2.19722457734
our,representatives,0.00518134715026,-5.2626901889
the,debugger,0.000165453342158,-8.70682132339
dedicated,student,0.142857142857,-1.94591014906
scrupulously,require,1.0,0.0
groups,who,0.0344827586207,-3.36729582999
deploy,any,0.25,-1.38629436112
uml,have,0.0294117647059,-3.52636052462
strategy,you,0.05,-2.99573227355
larger,loose,0.0526315789474,-2.94443897917
overwhelming,problem,0.333333333333,-1.09861228867
co-authors,are,0.5,-0.69314718056
researchers,understand,0.00884955752212,-4.72738781871
bringing,in,0.25,-1.38629436112
flock,was,0.0555555555556,-2.8903717579
effective,focal,0.05,-2.99573227355
consider,using,0.0392156862745,-3.23867845216
